# Acquisition started at 11/01/2023 - 15:11:40 
#
#******************************************* 
#
#Event	Ev.Type	ASIC	Ch.Type	Channel		Energy (ADC)
21	000	2	00	8		91
21	000	2	00	9		118
21	000	2	00	10		155
21	000	2	00	11		118
21	000	2	00	12		154
21	000	2	00	13		116
21	000	2	00	14		119
21	000	2	00	15		129
21	000	2	00	16		139
21	000	2	00	17		106
21	000	2	00	18		118
21	000	2	00	19		105
21	000	2	00	20		117
21	000	2	00	21		119
21	000	2	00	22		149
21	000	2	00	23		108
21	000	2	00	24		98
21	000	2	00	25		134
21	000	2	00	26		136
21	000	2	00	27		138
21	000	2	00	28		106
21	000	2	00	29		198
21	000	2	00	30		185
21	011	2	10	31		80
22	000	2	00	0		153
22	000	2	00	1		136
22	000	2	00	2		105
22	000	2	00	3		118
22	000	2	00	4		545
22	000	2	00	5		94
22	000	2	00	6		155
22	000	2	00	7		92
22	000	2	00	8		89
22	000	2	00	9		112
22	000	2	00	10		146
22	000	2	00	11		114
22	000	2	00	12		149
22	000	2	00	13		110
22	000	2	00	14		117
22	000	2	00	15		130
22	000	2	00	16		138
22	000	2	00	17		104
22	000	2	00	18		117
22	000	2	00	19		106
22	000	2	00	20		111
22	000	2	00	21		121
22	000	2	00	22		149
22	000	2	00	23		107
22	000	2	00	24		93
22	000	2	00	25		134
22	000	2	00	26		134
22	000	2	00	27		139
22	000	2	00	28		108
22	000	2	00	29		196
22	000	2	00	30		189
22	011	2	10	31		83
23	000	2	00	0		152
23	000	2	00	1		134
23	000	2	00	2		112
23	000	2	00	3		121
23	000	2	00	4		148
23	000	2	00	5		90
23	000	2	00	6		490
23	000	2	00	7		94
23	000	2	00	8		89
23	000	2	00	9		109
23	000	2	00	10		154
23	000	2	00	11		110
23	000	2	00	12		154
23	000	2	00	13		114
23	000	2	00	14		120
23	000	2	00	15		132
23	000	2	00	16		146
23	000	2	00	17		108
23	000	2	00	18		116
23	000	2	00	19		105
23	000	2	00	20		114
23	000	2	00	21		124
23	000	2	00	22		147
23	000	2	00	23		111
23	000	2	00	24		96
23	000	2	00	25		134
23	000	2	00	26		134
23	000	2	00	27		141
23	000	2	00	28		106
23	000	2	00	29		197
23	000	2	00	30		189
23	011	2	10	31		81
24	000	2	00	0		312
24	000	2	00	1		138
24	000	2	00	2		107
24	000	2	00	3		124
24	000	2	00	4		146
24	000	2	00	5		90
24	000	2	00	6		157
24	000	2	00	7		101
24	000	2	00	8		96
24	000	2	00	9		116
24	000	2	00	10		150
24	000	2	00	11		118
24	000	2	00	12		158
24	000	2	00	13		115
24	000	2	00	14		128
24	000	2	00	15		132
24	000	2	00	16		146
24	000	2	00	17		109
24	000	2	00	18		122
24	000	2	00	19		110
24	000	2	00	20		114
24	000	2	00	21		127
24	000	2	00	22		153
24	000	2	00	23		115
24	000	2	00	24		102
24	000	2	00	25		133
24	000	2	00	26		137
24	000	2	00	27		142
24	000	2	00	28		110
24	000	2	00	29		196
24	000	2	00	30		191
24	011	2	10	31		86
25	000	2	00	0		155
25	000	2	00	1		134
25	000	2	00	2		110
25	000	2	00	3		482
25	000	2	00	4		145
25	000	2	00	5		98
25	000	2	00	6		157
25	000	2	00	7		89
25	000	2	00	8		90
25	000	2	00	9		109
25	000	2	00	10		147
25	000	2	00	11		110
25	000	2	00	12		148
25	000	2	00	13		112
25	000	2	00	14		122
25	000	2	00	15		123
25	000	2	00	16		141
25	000	2	00	17		104
25	000	2	00	18		120
25	000	2	00	19		108
25	000	2	00	20		113
25	000	2	00	21		122
25	000	2	00	22		150
25	000	2	00	23		110
25	000	2	00	24		96
25	000	2	00	25		133
25	000	2	00	26		136
25	000	2	00	27		144
25	000	2	00	28		106
25	000	2	00	29		202
25	000	2	00	30		190
25	011	2	10	31		81
26	000	2	00	0		153
26	000	2	00	1		301
26	000	2	00	2		114
26	000	2	00	3		125
26	000	2	00	4		153
26	000	2	00	5		100
26	000	2	00	6		164
26	000	2	00	7		94
26	000	2	00	8		93
26	000	2	00	9		122
26	000	2	00	10		150
26	000	2	00	11		114
26	000	2	00	12		161
26	000	2	00	13		116
26	000	2	00	14		125
26	000	2	00	15		132
26	000	2	00	16		137
26	000	2	00	17		102
26	000	2	00	18		117
26	000	2	00	19		104
26	000	2	00	20		116
26	000	2	00	21		125
26	000	2	00	22		148
26	000	2	00	23		111
26	000	2	00	24		96
26	000	2	00	25		134
26	000	2	00	26		132
26	000	2	00	27		139
26	000	2	00	28		109
26	000	2	00	29		197
26	000	2	00	30		189
26	011	2	10	31		82
27	000	2	00	0		157
27	000	2	00	1		145
27	000	2	00	2		107
27	000	2	00	3		241
27	000	2	00	4		151
27	000	2	00	5		100
27	000	2	00	6		164
27	000	2	00	7		98
27	000	2	00	8		98
27	000	2	00	9		122
27	000	2	00	10		158
27	000	2	00	11		114
27	000	2	00	12		157
27	000	2	00	13		120
27	000	2	00	14		125
27	000	2	00	15		137
27	000	2	00	16		142
27	000	2	00	17		113
27	000	2	00	18		119
27	000	2	00	19		106
27	000	2	00	20		117
27	000	2	00	21		126
27	000	2	00	22		153
27	000	2	00	23		104
27	000	2	00	24		99
27	000	2	00	25		136
27	000	2	00	26		134
27	000	2	00	27		138
27	000	2	00	28		110
27	000	2	00	29		200
27	000	2	00	30		189
27	011	2	10	31		82
28	000	2	00	0		153
28	000	2	00	1		136
28	000	2	00	2		108
28	000	2	00	3		121
28	000	2	00	4		148
28	000	2	00	5		311
28	000	2	00	6		160
28	000	2	00	7		96
28	000	2	00	8		93
28	000	2	00	9		119
28	000	2	00	10		150
28	000	2	00	11		114
28	000	2	00	12		155
28	000	2	00	13		112
28	000	2	00	14		124
28	000	2	00	15		135
28	000	2	00	16		139
28	000	2	00	17		106
28	000	2	00	18		120
28	000	2	00	19		101
28	000	2	00	20		114
28	000	2	00	21		117
28	000	2	00	22		149
28	000	2	00	23		107
28	000	2	00	24		96
28	000	2	00	25		135
28	000	2	00	26		136
28	000	2	00	27		140
28	000	2	00	28		106
28	000	2	00	29		197
28	000	2	00	30		188
28	011	2	10	31		85
29	000	2	00	0		160
29	000	2	00	1		138
29	000	2	00	2		112
29	000	2	00	3		130
29	000	2	00	4		151
29	000	2	00	5		105
29	000	2	00	6		161
29	000	2	00	7		232
29	000	2	00	8		90
29	000	2	00	9		121
29	000	2	00	10		160
29	000	2	00	11		116
29	000	2	00	12		155
29	000	2	00	13		114
29	000	2	00	14		125
29	000	2	00	15		132
29	000	2	00	16		145
29	000	2	00	17		106
29	000	2	00	18		118
29	000	2	00	19		105
29	000	2	00	20		118
29	000	2	00	21		126
29	000	2	00	22		150
29	000	2	00	23		111
29	000	2	00	24		96
29	000	2	00	25		137
29	000	2	00	26		129
29	000	2	00	27		147
29	000	2	00	28		108
29	000	2	00	29		196
29	000	2	00	30		186
29	011	2	10	31		86
30	000	2	00	0		149
30	000	2	00	1		545
30	000	2	00	2		104
30	000	2	00	3		122
30	000	2	00	4		146
30	000	2	00	5		99
30	000	2	00	6		160
30	000	2	00	7		96
30	000	2	00	8		90
30	000	2	00	9		117
30	000	2	00	10		153
30	000	2	00	11		112
30	000	2	00	12		151
30	000	2	00	13		112
30	000	2	00	14		118
30	000	2	00	15		129
30	000	2	00	16		141
30	000	2	00	17		109
30	000	2	00	18		118
30	000	2	00	19		104
30	000	2	00	20		117
30	000	2	00	21		123
30	000	2	00	22		154
30	000	2	00	23		112
30	000	2	00	24		97
30	000	2	00	25		133
30	000	2	00	26		136
30	000	2	00	27		142
30	000	2	00	28		108
30	000	2	00	29		197
30	000	2	00	30		187
30	011	2	10	31		83
31	000	2	00	0		152
31	000	2	00	1		582
31	000	2	00	2		104
31	000	2	00	3		122
31	000	2	00	4		147
31	000	2	00	5		89
31	000	2	00	6		155
31	000	2	00	7		97
31	000	2	00	8		93
31	000	2	00	9		110
31	000	2	00	10		150
31	000	2	00	11		114
31	000	2	00	12		154
31	000	2	00	13		112
31	000	2	00	14		124
31	000	2	00	15		135
31	000	2	00	16		153
31	000	2	00	17		116
31	000	2	00	18		125
31	000	2	00	19		113
31	000	2	00	20		125
31	000	2	00	21		132
31	000	2	00	22		154
31	000	2	00	23		119
31	000	2	00	24		106
31	000	2	00	25		140
31	000	2	00	26		142
31	000	2	00	27		146
31	000	2	00	28		113
31	000	2	00	29		205
31	000	2	00	30		192
31	011	2	10	31		87
32	000	2	00	0		154
32	000	2	00	1		137
32	000	2	00	2		104
32	000	2	00	3		129
32	000	2	00	4		388
32	000	2	00	5		103
32	000	2	00	6		158
32	000	2	00	7		101
32	000	2	00	8		94
32	000	2	00	9		123
32	000	2	00	10		153
32	000	2	00	11		117
32	000	2	00	12		161
32	000	2	00	13		116
32	000	2	00	14		130
32	000	2	00	15		134
32	000	2	00	16		144
32	000	2	00	17		108
32	000	2	00	18		122
32	000	2	00	19		110
32	000	2	00	20		120
32	000	2	00	21		122
32	000	2	00	22		154
32	000	2	00	23		114
32	000	2	00	24		97
32	000	2	00	25		134
32	000	2	00	26		132
32	000	2	00	27		141
32	000	2	00	28		107
32	000	2	00	29		196
32	000	2	00	30		188
32	011	2	10	31		85
33	000	2	00	0		148
33	000	2	00	1		134
33	000	2	00	2		102
33	000	2	00	3		121
33	000	2	00	4		145
33	000	2	00	5		452
33	000	2	00	6		156
33	000	2	00	7		92
33	000	2	00	8		84
33	000	2	00	9		110
33	000	2	00	10		149
33	000	2	00	11		111
33	000	2	00	12		152
33	000	2	00	13		109
33	000	2	00	14		120
33	000	2	00	15		130
33	000	2	00	16		145
33	000	2	00	17		109
33	000	2	00	18		116
33	000	2	00	19		109
33	000	2	00	20		117
33	000	2	00	21		123
33	000	2	00	22		152
33	000	2	00	23		113
33	000	2	00	24		98
33	000	2	00	25		136
33	000	2	00	26		134
33	000	2	00	27		142
33	000	2	00	28		106
33	000	2	00	29		198
33	000	2	00	30		190
33	011	2	10	31		81
34	000	2	00	0		153
34	000	2	00	1		138
34	000	2	00	2		109
34	000	2	00	3		125
34	000	2	00	4		226
34	000	2	00	5		99
34	000	2	00	6		161
34	000	2	00	7		101
34	000	2	00	8		93
34	000	2	00	9		118
34	000	2	00	10		152
34	000	2	00	11		115
34	000	2	00	12		158
34	000	2	00	13		117
34	000	2	00	14		125
34	000	2	00	15		131
34	000	2	00	16		139
34	000	2	00	17		107
34	000	2	00	18		118
34	000	2	00	19		104
34	000	2	00	20		114
34	000	2	00	21		121
34	000	2	00	22		149
34	000	2	00	23		107
34	000	2	00	24		99
34	000	2	00	25		132
34	000	2	00	26		136
34	000	2	00	27		139
34	000	2	00	28		106
34	000	2	00	29		197
34	000	2	00	30		189
34	011	2	10	31		78
35	000	2	00	0		154
35	000	2	00	1		139
35	000	2	00	2		113
35	000	2	00	3		123
35	000	2	00	4		403
35	000	2	00	5		100
35	000	2	00	6		155
